"Плановые почаcовые объемы потребления, МВтЧ.",,,,,,,,,
Дата,17.07.2019,,,,,,,,
Ценовая зона:,Европа,,,,,,,,
,,,,,,,,,
Час,,,,,,,,,
,…,08-09,09-10,10-11,11-12,12-13,13-14,14-15,…
Объём потребления ГП,…,49498.913,51989.737,52617.924,52507.568,52146.723,52444.545,52184.415,…
Объём потребления не ГП,…,31419.52,31552.172,31526.1,31586.293,31625.01,31707.908,31786.547,…
