,DAT,PRICE_ZONE_CODE,CONSUMER_VOLUME,CONSUMER_PRICE,CONSUMER_RD_VOLUME,CONSUMER_SPOT_VOLUME,CONSUMER_PROVIDE_RD,CONSUMER_MAX_PRICE,CONSUMER_MIN_PRICE,SUPPLIER_VOLUME,SUPPLIER_PRICE,SUPPLIER_RD_VOLUME,SUPPLIER_SPOT_VOLUME,SUPPLIER_PROVIDE_RD,SUPPLIER_MAX_PRICE,SUPPLIER_MIN_PRICE,HOUR
14,19.09.2016,2,20775.586,724,2881.186,17801.884,.624,1367.51,51.65,21755.422,534.07,2967.623,18286.163,259.664,1296.61,0,14
15,19.09.2016,2,21067.481,727.16,2881.186,18100.835,.09,1367.81,51.64,22034.376,535.73,2967.623,18561.117,259.664,1302.26,0,15
16,19.09.2016,2,21298.689,759.64,3465.582,17713.393,6.154,1320.59,51.64,22163.072,568.03,3569.549,18152.711,324.488,1390.47,0,16
17,19.09.2016,2,20918.664,650.38,3465.582,17219.072,16.013,1417.86,40.54,21667.326,514.56,3569.549,17656.965,324.488,1417.86,0,17
18,19.09.2016,2,20261.406,592.44,3465.582,16554.126,24.006,1380.78,38.92,21103.033,467.57,3569.549,17099.172,324.488,1285.99,0,18
19,19.09.2016,2,19552.483,506.32,2025.43,17336.797,.064,1351.84,32.2,20526.584,386.5,2086.194,17867.181,190.091,1184.75,0,19
20,19.09.2016,2,18935.01,103.67,2025.43,16664.376,5.056,1198.2,46.12,19860.188,66.55,2086.194,17200.785,190.091,479.43,45.69,20
21,19.09.2016,2,18673.027,103.51,2025.43,16383.309,7.375,1113.23,46.31,19591.046,65.95,2086.194,16931.643,190.091,478.88,45.87,21
22,19.09.2016,2,18523.22,103.09,2025.43,16220.773,9.432,1081.87,46.64,19433.039,65.16,2086.194,16773.636,190.091,478.78,46.2,22
23,19.09.2016,2,18444.529,106.09,2025.43,16140.635,10.458,1027.31,47.01,19351.094,66.6,2086.194,16691.691,190.091,539.01,46.57,23
